name,price,original_price,sale_price,currency,sku,in_stock,image_url,description,url
BOJE HP 301XL CH564EE COLOR,5500,6200,5500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/301-xl-COL.jpg,BOJE HP 301XL CH564EE COLOR,https://eurooffice.al/product/boje-hp-301xl-ch564ee-color/
BOJE HP 301 CH561EE Black,3200,3500,3200,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/301-B.jpg,BOJE HP 301 CH561EE Black,https://eurooffice.al/product/boje-hp-301-ch561ee-black/
BOJE HP 301 CH562EE  COLOR,3000,3500,3000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/301-COLOR.jpg,BOJE HP 301 CH562EE COLOR,https://eurooffice.al/product/boje-hp-301-ch562ee-color/
"Toner HP LJ CE412A  YELLOW (305A) HP:COLOR LASERJET PRO M375NW, COLOR LASERJET PRO M451DN, COLOR LASERJET PRO M475DN, LASERJET PRO 300 M351A, LASERJET PRO 400 M451DN, LASERJET PRO 400 M451NW, LASERJET PRO MFP M475DW",18400,19800,18400,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/ce-412-A.jpg,"Toner HP LJ CE412A YELLOW (305A) HP:COLOR LASERJET PRO M375NW, COLOR LASERJET PRO M451DN, COLOR LASERJET PRO M475DN, LASERJET PRO 300 M351A, LASERJET PRO 400 M451DN, LASERJET PRO 400 M451NW, LASERJET PRO MFP M475DW",https://eurooffice.al/product/toner-hp-lj-ce412a-yellow-305a-hpcolor-laserjet-pro-m375nw-color-laserjet-pro-m451dn-color-laserjet-pro-m475dn-laserjet-pro-300-m351a-laserjet-pro-400-m451dn-laserjet-pro-400-m451nw-laserjet/
BOJE HP 301XL CH563EE Black,6500,7000,6500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/u_08002917.jpg,BOJE HP 301XL CH563EE Black,https://eurooffice.al/product/boje-hp-301xl-ch561ee-black/
BOJE HP 302 F6U66AE BLACK,3200,3800,3200,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/302.jpg,BOJE HP 302 F6U66AE BLACK,https://eurooffice.al/product/boje-hp-302-f6u66ae-black/
BOJE HP 302 F6U65AE COLOR,3700,4400,3700,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/302-C.jpg,BOJE HP 302 F6U65AE COLOR,https://eurooffice.al/product/boje-hp-301xl-ch563ee-black/
BOJE HP 302XL F6U68AE BLACK,5500,6000,5500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/302XL-B.jpg,BOJE HP 302XL F6U68AE BLACK,https://eurooffice.al/product/boje-hp-302xl-f6u68ae-black-2/
BOJE HP 302XL F6U67AE COLOR,5700,6300,5700,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/302XL.jpg,BOJE HP 302XL F6U67AE COLOR,https://eurooffice.al/product/boje-hp-302xl-f6u67ae-color/
"Toner kompatibel KIOCERA-MITA TK-160 :ECOSYS P2035D, FS-1120D, FS-1120DN",2000,3000,2000,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/tk-160.jpg,"Toner kompatibel KIOCERA-MITA TK-160 :ECOSYS P2035D, FS-1120D, FS-1120DN",https://eurooffice.al/product/toner-kompatibel-kiocera-mita-tk-160-ecosys-p2035d-fs-1120d-fs-1120dn/
"Toner HP LJ CE413A  MAGENTA (305A) HP:COLOR LASERJET PRO M375NW, COLOR LASERJET PRO M451DN, COLOR LASERJET PRO M475DN, LASERJET PRO 300 M351A, LASERJET PRO 400 M451DN, LASERJET PRO 400 M451NW, LASERJET PRO MFP M475DW",18400,19800,18400,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/CE-413A.jpg,"Toner HP LJ CE413A MAGENTA (305A) HP:COLOR LASERJET PRO M375NW, COLOR LASERJET PRO M451DN, COLOR LASERJET PRO M475DN, LASERJET PRO 300 M351A, LASERJET PRO 400 M451DN, LASERJET PRO 400 M451NW, LASERJET PRO MFP M475DW",https://eurooffice.al/product/toner-hp-lj-ce413a-magenta-305a-hpcolor-laserjet-pro-m375nw-color-laserjet-pro-m451dn-color-laserjet-pro-m475dn-laserjet-pro-300-m351a-laserjet-pro-400-m451dn-laserjet-pro-400-m451nw-laserje/
BOJE HP 302XL F6U68AE BLACK,5500,6200,5500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/302XL-B.jpg,BOJE HP 302XL F6U68AE BLACK,https://eurooffice.al/product/boje-hp-302xl-f6u68ae-black-3/
"Toner HP LJ CF230A HP:LASERJET PRO M203DN, LASERJET PRO M203DW, LASERJET PRO M227FDW, LASERJET PRO M227SDN",11000,13000,11000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/toner-hp-30a-original-cf230a.jpg,"Toner HP LJ CF230A HP:LASERJET PRO M203DN, LASERJET PRO M203DW, LASERJET PRO M227FDW, LASERJET PRO M227SDN",https://eurooffice.al/product/toner-hp-lj-cf226a-hplaserjet-pro-m402d-laserjet-pro-m402dn-laserjet-pro-m402dw-laserjet-pro-m402n-laserjet-pro-m425fdn-laserjet-pro-mfp-m426fdw/
"Toner HP LJ CF256X  LASERJET M436DN, LASERJET M436N, LASERJET M436NDA",7800,8500,7800,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/256.jpg,"Toner HP LJ CF256X LASERJET M436DN, LASERJET M436N, LASERJET M436NDA",https://eurooffice.al/product/toner-hp-lj-cf256x-laserjet-m436dn-laserjet-m436n-laserjet-m436nda/
BOJE HP 304 N9K05AE COLOR,2500,3000,2500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/hp-304c-ink.jpg,BOJE HP 304 N9K05AE COLOR,https://eurooffice.al/product/boje-hp-304-n9k05ae-color/
BOJE HP 304 N9K06AE BLACK,2500,3000,2500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/hp-304-ink.jpg,BOJE HP 304 N9K06AE BLACK,https://eurooffice.al/product/boje-hp-304-n9k06ae-black/
BOJE HP 304XL N9K07AE COLOR,5000,5600,5000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/wh2-n9k07ae_01.jpg,BOJE HP 304XL N9K07AE COLOR,https://eurooffice.al/product/boje-hp-304xl-n9k07ae-color/
"Toner HP LJ CF410A BLACK HP:COLOR LASERJET PRO M452DN, COLOR LASERJET PRO M452NW, LASERJET PRO MFP M477FDN, LASERJET PRO MFP M477FDW, LASERJET PRO MFP M477FNW",16000,18000,16000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/CF-410.jpg,"Toner HP LJ CF410A HP:COLOR LASERJET PRO M452DN, COLOR LASERJET PRO M452NW, LASERJET PRO MFP M477FDN, LASERJET PRO MFP M477FDW, LASERJET PRO MFP M477FNW",https://eurooffice.al/product/toner-hp-lj-cf410a-hpcolor-laserjet-pro-m452dn-color-laserjet-pro-m452nw-laserjet-pro-mfp-m477fdn-laserjet-pro-mfp-m477fdw-laserjet-pro-mfp-m477fnw/
"Toner HP LJ CF411A CIAN HP:COLOR LASERJET PRO M452DN, COLOR LASERJET PRO M452NW, LASERJET PRO MFP M477FDN, LASERJET PRO MFP M477FDW, LASERJET PRO MFP M477FNW",20000,22000,20000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/CF-411.jpg,"Toner HP LJ CF411A CIAN HP:COLOR LASERJET PRO M452DN, COLOR LASERJET PRO M452NW, LASERJET PRO MFP M477FDN, LASERJET PRO MFP M477FDW, LASERJET PRO MFP M477FNW",https://eurooffice.al/product/toner-hp-lj-cf411a-cian-hpcolor-laserjet-pro-m452dn-color-laserjet-pro-m452nw-laserjet-pro-mfp-m477fdn-laserjet-pro-mfp-m477fdw-laserjet-pro-mfp-m477fnw/
BOJE HP 304XL N9K08AE BLACK,4800,5800,4800,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/304xl.jpg,BOJE HP 304XL N9K08AE BLACK,https://eurooffice.al/product/boje-hp-304xl-n9k08ae-black/
"Toner HP LJ CF412A YELLOW HP:COLOR LASERJET PRO M452DN, COLOR LASERJET PRO M452NW, LASERJET PRO MFP M477FDN, LASERJET PRO MFP M477FDW, LASERJET PRO MFP M477FNW",20000,22000,20000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/CF-412A.jpg,"Toner HP LJ CF412A YELLOW HP:COLOR LASERJET PRO M452DN, COLOR LASERJET PRO M452NW, LASERJET PRO MFP M477FDN, LASERJET PRO MFP M477FDW, LASERJET PRO MFP M477FNW",https://eurooffice.al/product/toner-hp-lj-cf412a-yellow-hpcolor-laserjet-pro-m452dn-color-laserjet-pro-m452nw-laserjet-pro-mfp-m477fdn-laserjet-pro-mfp-m477fdw-laserjet-pro-mfp-m477fnw/
BOJE HP 45A 51645AE BLACK,9500,10200,9500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/hp-51645ae.jpg,BOJE HP 45A 51645AE BLACK,https://eurooffice.al/product/boje-hp-45a-51645ae-black/
"Toner HP LJ CF413A MAGENTA HP:COLOR LASERJET PRO M452DN, COLOR LASERJET PRO M452NW, LASERJET PRO MFP M477FDN, LASERJET PRO MFP M477FDW, LASERJET PRO MFP M477FNW",20000,22000,20000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/CF-413A.jpg,"Toner HP LJ CF413A MAGENTA HP:COLOR LASERJET PRO M452DN, COLOR LASERJET PRO M452NW, LASERJET PRO MFP M477FDN, LASERJET PRO MFP M477FDW, LASERJET PRO MFP M477FNW",https://eurooffice.al/product/toner-hp-lj-cf413a-magenta-hpcolor-laserjet-pro-m452dn-color-laserjet-pro-m452nw-laserjet-pro-mfp-m477fdn-laserjet-pro-mfp-m477fdw-laserjet-pro-mfp-m477fnw/
BOJE HP 650 CZ102AE COLOR,2200,2500,2200,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/650color-CZ102A.jpg,BOJE HP 650 CZ102AE COLOR,https://eurooffice.al/product/boje-hp-650-cz102ae-color/
"Toner HP LJ Color  CF350A,CF351A,CF352A,CF353A",41700,43000,41700,L,,true,https://eurooffice.al/wp-content/uploads/2018/01/hp-toner-476.jpg,"Prodhuesi: HP Kodi Produktit: Toner HP LJ CF350A,CF351A,CF352A,CF353A Toner HP per Printera Laser. Ky produkt cilesor ofron saktesi dhe definicion te larte per dokumentat e printuar. Instalohet lehtesisht ne printerin tuaj. Te gjitha produktet tona jane te nje cilesie te larte dhe me cmimet me konkurruese ne treg. Ne tregohemi te kujdesshem ne perzgjedhjen e partnereve tane per te sjelle prane jush produkte cilesore. Tek ne do te gjeni gjithe gamen e artikujve qe ju nevojitet ne zyra, institucione si dhe artikuj shkollore.",https://eurooffice.al/product/hp-toner-476/
Toner HP LJ Color cian  CF381A      312A,23000,24000,23000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/HPCF381A.png,Prodhuesi: HP Kodi Produktit:Toner HP LJ Color cian CF381A 312A,https://eurooffice.al/product/toner-hp-lj-color-cian-cf381a-312a/
Toner HP LJ Color magenta  CF383A      312A,21000,22200,21000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/0002359_hp-312a-.jpeg,Prodhuesi: HP Kodi Produktit:Toner HP LJ Color magenta CF383A 312A,https://eurooffice.al/product/toner-hp-lj-color-magenta-cf383a-312a/
Toner HP LJ Color Yellow  CF382A      312A,21000,22200,21000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/HPCF382A.png,Prodhuesi: HP Kodi Produktit:Toner HP LJ Color Yellow CF382A 312A,https://eurooffice.al/product/toner-hp-lj-color-yellow-cf382a-312a/
"Toner HP LJ HP:LASERJET PRO M402D, LASERJET PRO M402DN, LASERJET PRO M402DW, LASERJET PRO M402N, LASERJET PRO M425FDN, LASERJET PRO MFP M426FDW HP:LASERJET PRO M102, LASERJET PRO M102A, LASERJET PRO M102W, LASERJET PRO MFP M130, LASERJET PRO MFP M130A, LASERJET PRO MFP M130FN, LASERJET PRO MFP M130FW, LASERJET PRO MFP M130NW (Copy)",11500,13000,11500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/219a.jpg,"Cilinder (Drum) HP LJ CF219A HP:LASERJET PRO M102, LASERJET PRO M102A, LASERJET PRO M102W, LASERJET PRO MFP M130, LASERJET PRO MFP M130A, LASERJET PRO MFP M130FN, LASERJET PRO MFP M130FW, LASERJET PRO MFP M130NW",https://eurooffice.al/product/toner-hp-lj-hplaserjet-pro-m402d-laserjet-pro-m402dn-laserjet-pro-m402dw-laserjet-pro-m402n-laserjet-pro-m425fdn-laserjet-pro-mfp-m426fdw-hplaserjet-pro-m102-laserjet-pro-m102a-laserjet-pro-m/
Toner HP LJ Q6001A   Cian,16000,17500,16000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/6001.jpeg,Prodhuesi: HP Kodi Produktit:Toner HP LJ Q6001A Cian,https://eurooffice.al/product/toner-hp-lj-q6001a-cian/
Toner HP LJ Q6002A   Yellow,14500,15500,14500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/6002.jpg,Prodhuesi: HP Kodi Produktit:Toner HP LJ Q6002A Yellow,https://eurooffice.al/product/toner-hp-lj-q6002a-yellow/
Toner HP LJ Q6003A   Magenta,16000,17500,16000,L,,false,https://eurooffice.al/wp-content/uploads/2020/05/HP-Q6003A.jpg,Prodhuesi: HP Kodi Produktit:Toner HP LJ Q6003A Magenta,https://eurooffice.al/product/toner-hp-lj-q6003a-magenta/
"Toner kompatibel  HP LJ W1360A  , 209a/LJ211ser./MFP 233dw/234dw/236DN/M208 black WITH CHIP No.136A (1.15k)",3000,4000,3000,L,,true,https://eurooffice.al/wp-content/uploads/2025/04/w1360a.jpg,"Toner kompatibel HP LJ CF217A HP:LASERJET PRO M102A, LASERJET PRO M102W, LASERJET PRO M130A, LASERJET PRO M130FN, LASERJET PRO M130FW, LASERJET PRO M130NW,",https://eurooffice.al/product/toner-kompatibel-hp-w1360a-209a-lj211ser-mfp-233dw-234dw-236dn-m208-black-with-chip-no-136a-1-15k/
Toner kompatibel  HP LJ W1500A M141/M111 series black (0.975k) No.150A WITH CHIP,3800,5000,3800,L,,true,https://eurooffice.al/wp-content/uploads/2025/04/Ricoh-sp-330.jpg,"Toner kompatibel HP LJ CF217A HP:LASERJET PRO M102A, LASERJET PRO M102W, LASERJET PRO M130A, LASERJET PRO M130FN, LASERJET PRO M130FW, LASERJET PRO M130NW,",https://eurooffice.al/product/toner-kompatibel-hp-lj-w1500a-m141-m111-series-black-0-975k-no-150a-with-chip/
"Toner kompatibel BROTHER TN-1050  DCP 1510, DCP 1510R, DCP 1512R, DCP 1610W, HL 1110, HL 1110R, HL 1112R, HL 1210W, MFC 1810, MFC 1810R, MFC 1815, MFC 1815R, MFC 1910W",2500,3500,2500,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/br1050.jpg,"Toner kompatibel BROTHER TN-1050 DCP 1510, DCP 1510R, DCP 1512R, DCP 1610W, HL 1110, HL 1110R, HL 1112R, HL 1210W, MFC 1810, MFC 1810R, MFC 1815, MFC 1815R, MFC 1910W",https://eurooffice.al/product/toner-kompatibel-brother-tn-1050-dcp-1510-dcp-1510r-dcp-1512r-dcp-1610w-hl-1110-hl-1110r-hl-1112r-hl-1210w-mfc-1810-mfc-1810r-mfc-1815-mfc-1815r-mfc-1910w/
"Toner kompatibel BROTHER TN-2000 ,TN-2005   DCP 7010, DCP 7025, FAX 2820, FAX 2920, HL 2030, HL 2035, HL 2037, HL 2040, HL 2070N, MFC 7225N, MFC 7420, MFC 7820N",2800,4000,2800,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/TN-2000.jpg,"Toner kompatibel BROTHER TN-2000 ,TN-2005 DCP 7010, DCP 7025, FAX 2820, FAX 2920, HL 2030, HL 2035, HL 2037, HL 2040, HL 2070N, MFC 7225N, MFC 7420, MFC 7820N",https://eurooffice.al/product/toner-kompatibel-brother-tn-2000-tn-2005-dcp-7010-dcp-7025-fax-2820-fax-2920-hl-2030-hl-2035-hl-2037-hl-2040-hl-2070n-mfc-7225n-mfc-7420-mfc-7820n/
"Toner kompatibel BROTHER TN-2120   DCP 7030, DCP 7040, DCP 7045N, HL 2140, HL 2150N, HL 2170W, MFC 7320, MFC 7440N, MFC 7840W",4000,5000,4000,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/2120.jpg,"Toner kompatibel BROTHER TN-2120 DCP 7030, DCP 7040, DCP 7045N, HL 2140, HL 2150N, HL 2170W, MFC 7320, MFC 7440N, MFC 7840W",https://eurooffice.al/product/toner-kompatibel-brother-tn-2120-dcp-7030-dcp-7040-dcp-7045n-hl-2140-hl-2150n-hl-2170w-mfc-7320-mfc-7440n-mfc-7840w/
"Toner XEROX WORKCENTRE 5225, WORKCENTRE 5230, 106R01413",12500,13500,12500,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/xerox-workcentre-5222-106r01413-5230.jpg,"Prodhuesi: Xerox Modeli:Toner XEROX WORKCENTRE 5225, WORKCENTRE 5230, 106R01413 Toner Xerox per Printera Laser. Ky produkt cilesor ofron saktesi dhe definicion te larte per dokumentat e printuar. Instalohet lehtesisht ne printerin tuaj. Toner i zi qe mund te printoj ne total 3,000 flete. Te gjitha produktet tona jane te nje cilesie te larte dhe me cmimet me konkurruese ne treg. Ne tregohemi te kujdesshem ne perzgjedhjen e partnereve tane per te sjelle prane jush produkte cilesore. Tek ne do te gjeni gjithe gamen e artikujve qe ju nevojitet ne zyra, institucione si dhe artikuj shkollore.",https://eurooffice.al/product/toner-xerox-workcentre-5225-workcentre-5230-106r01413/
"Toner kompatibel BROTHER TN-2220   DCP 7055, DCP 7055W, DCP 7057, DCP 7057E, DCP 7060D, DCP 7065DN, DCP 7070DW, FAX 2840, FAX 2845, FAX 2940, HL 2130, HL 2132, HL 2135W, HL 2220, HL 2230, HL 2240D, HL 2242D, HL 2250DN, HL 2270DW, HL 2280DW, MFC 7360N, MFC 7460DN, MFC 7860DW",3500,4500,3500,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/2220.jpg,"Toner kompatibel BROTHER TN-2220 DCP 7055, DCP 7055W, DCP 7057, DCP 7057E, DCP 7060D, DCP 7065DN, DCP 7070DW, FAX 2840, FAX 2845, FAX 2940, HL 2130, HL 2132, HL 2135W, HL 2220, HL 2230, HL 2240D, HL 2242D, HL 2250DN, HL 2270DW, HL 2280DW, MFC 7360N, MFC 7460DN, MFC 7860DW",https://eurooffice.al/product/toner-kompatibel-brother-tn-2220-dcp-7055-dcp-7055w-dcp-7057-dcp-7057e-dcp-7060d-dcp-7065dn-dcp-7070dw-fax-2840-fax-2845-fax-2940-hl-2130-hl-2132-hl-2135w-hl-2220-hl-2230-hl-2240d-hl/
"Toner kompatibel BROTHER TN-2320 DCP L2500D, DCP L2540DN, HL L2300D, HL L2340DW, HL L2360DN, HL L2365DW, MFC L2700DN, MFC L2700DW, MFC L2720DW, MFC L2740DW",3500,4000,3500,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/tn-2320.jpg,"Toner kompatibel BROTHER TN-2320 DCP L2500D, DCP L2540DN, HL L2300D, HL L2340DW, HL L2360DN, HL L2365DW, MFC L2700DN, MFC L2700DW, MFC L2720DW, MFC L2740DW",https://eurooffice.al/product/toner-kompatibel-brother-tn-2320-dcp-l2500d-dcp-l2540dn-hl-l2300d-hl-l2340dw-hl-l2360dn-hl-l2365dw-mfc-l2700dn-mfc-l2700dw-mfc-l2720dw-mfc-l2740dw/
"Toner kompatibel BROTHER TN-2420  DCP L2510D, DCP L2550DN, HL L2310D, HL L2350DW, HL L2370DN, HL L2375DW, MFC L2710DN, MFC L2710DW, MFC L2730DW, MFC L2750DW",3500,5000,3500,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/tn-2320.jpg,"Toner kompatibel BROTHER TN-2420 DCP L2510D, DCP L2550DN, HL L2310D, HL L2350DW, HL L2370DN, HL L2375DW, MFC L2710DN, MFC L2710DW, MFC L2730DW, MFC L2750DW",https://eurooffice.al/product/toner-kompatibel-brother-tn-2420-dcp-l2510d-dcp-l2550dn-hl-l2310d-hl-l2350dw-hl-l2370dn-hl-l2375dw-mfc-l2710dn-mfc-l2710dw-mfc-l2730dw-mfc-l2750dw/
"Toner kompatibel BROTHER TN-3130   DCP 8060, DCP 8065DN, HL 5240, HL 5250DN, HL 5270DN, HL 5280DW, MFC 8460N, MFC 8860DN, MFC 8870DW",4000,5000,4000,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/3130.jpg,"Toner kompatibel BROTHER TN-3130 DCP 8060, DCP 8065DN, HL 5240, HL 5250DN, HL 5270DN, HL 5280DW, MFC 8460N, MFC 8860DN, MFC 8870DW",https://eurooffice.al/product/toner-kompatibel-brother-tn-3130-dcp-8060-dcp-8065dn-hl-5240-hl-5250dn-hl-5270dn-hl-5280dw-mfc-8460n-mfc-8860dn-mfc-8870dw/
"Toner kompatibel BROTHER TN-3230  DCP 8085DN, HL 5340D, HL 5340DL, HL 5350DN, HL 5350DNLT, HL 5380DN, MFC 8370DN, MFC 8890DW",2800,4000,2800,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/718ccd1ks2L._SL1281_.jpg,"Toner kompatibel BROTHER TN-3230 DCP 8085DN, HL 5340D, HL 5340DL, HL 5350DN, HL 5350DNLT, HL 5380DN, MFC 8370DN, MFC 8890DW",https://eurooffice.al/product/toner-kompatibel-brother-tn-3230-dcp-8085dn-hl-5340d-hl-5340dl-hl-5350dn-hl-5350dnlt-hl-5380dn-mfc-8370dn-mfc-8890dw/
"Toner kompatibel BROTHER TN-3330  DCP 8110DN, DCP 8250DN, HL 5440D, HL 5450DN, HL 5470DW, HL 6180DW, HL 6180DWT, MFC 8510DN, MFC 8520DN, MFC 8950DW, MFC 8950DWT",2800,4000,2800,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/718ccd1ks2L._SL1281_.jpg,"Toner kompatibel BROTHER TN-3330 DCP 8110DN, DCP 8250DN, HL 5440D, HL 5450DN, HL 5470DW, HL 6180DW, HL 6180DWT, MFC 8510DN, MFC 8520DN, MFC 8950DW, MFC 8950DWT",https://eurooffice.al/product/toner-kompatibel-brother-tn-3330-dcp-8110dn-dcp-8250dn-hl-5440d-hl-5450dn-hl-5470dw-hl-6180dw-hl-6180dwt-mfc-8510dn-mfc-8520dn-mfc-8950dw-mfc-8950dwt/
"Toner kompatibel BROTHER TN-3380   DCP 8110DN, DCP 8250DN, HL 5440D, HL 5450DN, HL 5470DW, HL 6180DW, HL 6180DWT, MFC 8510DN, MFC 8520DN, MFC 8950DW, MFC 8950DWT",2800,4000,2800,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/3380.jpg,"Toner kompatibel BROTHER TN-3380 DCP 8110DN, DCP 8250DN, HL 5440D, HL 5450DN, HL 5470DW, HL 6180DW, HL 6180DWT, MFC 8510DN, MFC 8520DN, MFC 8950DW, MFC 8950DWT",https://eurooffice.al/product/toner-kompatibel-brother-tn-3380-dcp-8110dn-dcp-8250dn-hl-5440d-hl-5450dn-hl-5470dw-hl-6180dw-hl-6180dwt-mfc-8510dn-mfc-8520dn-mfc-8950dw-mfc-8950dwt/
"Toner kompatibel BROTHER TN-3480  DCP L5500DN, DCP L6600DW, HL L5000D, HL L5100DN, HL L5200DW, HL L6300DW, HL L6400DW, HL L6400DWT, MFC L5700DN, MFC L5750DW, MFC L6800DW, MFC L6900DW, MFC L6900DWT, MFC L6970DW",4000,5000,4000,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/3480.jpg,"Toner kompatibel BROTHER TN-3480 DCP L5500DN, DCP L6600DW, HL L5000D, HL L5100DN, HL L5200DW, HL L6300DW, HL L6400DW, HL L6400DWT, MFC L5700DN, MFC L5750DW, MFC L6800DW, MFC L6900DW, MFC L6900DWT, MFC L6970DW",https://eurooffice.al/product/toner-kompatibel-brother-tn-3480-dcp-l5500dn-dcp-l6600dw-hl-l5000d-hl-l5100dn-hl-l5200dw-hl-l6300dw-hl-l6400dw-hl-l6400dwt-mfc-l5700dn-mfc-l5750dw-mfc-l6800dw-mfc-l6900dw-mfc-l6900dwt-mf/
"Toner kompatibel HP LASER JET Q7553A  LASERJET P2015, LASERJET P2015D, LASERJET P2015DN, LASERJET P2015N, LASERJET P2015X",4500,5500,4500,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/HP-2015.jpg,"Toner kompatibel HP LASER JET Q7553A LASERJET P2015, LASERJET P2015D, LASERJET P2015DN, LASERJET P2015N, LASERJET P2015X",https://eurooffice.al/product/toner-kompatibel-hp-laser-jet-q7553a-laserjet-p2015-laserjet-p2015d-laserjet-p2015dn-laserjet-p2015n-laserjet-p2015x/
"Toner kompatibel HP LJ C4129X  HP:LASERJET 5000, LASERJET 5000DN, LASERJET 5000GN, LASERJET 5000N, LASERJET 5100, LASERJET 5100DTN, LASERJET 5100TN",8000,9500,8000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/718ccd1ks2L._SL1281_.jpg,"Toner kompatibel HP LJ C4129X HP:LASERJET 5000, LASERJET 5000DN, LASERJET 5000GN, LASERJET 5000N, LASERJET 5100, LASERJET 5100DTN, LASERJET 5100TN",https://eurooffice.al/product/toner-kompatibel-hp-lj-c4129x-hplaserjet-5000-laserjet-5000dn-laserjet-5000gn-laserjet-5000n-laserjet-5100-laserjet-5100dtn-laserjet-5100tn/
"Toner kompatibel HP LJ CB436A   HP:LASERJET M1120MFP, LASERJET M1120N MFP, LASERJET M1522N MFP, LASERJET M1522NF MFP, LASERJET P1505, LASERJET P1505N",2000,2500,2000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/436.jpg,"Toner kompatibel HP LJ CB436A HP:LASERJET M1120MFP, LASERJET M1120N MFP, LASERJET M1522N MFP, LASERJET M1522NF MFP, LASERJET P1505, LASERJET P1505N,",https://eurooffice.al/product/toner-kompatibel-hp-lj-cb436a-hplaserjet-m1120mfp-laserjet-m1120n-mfp-laserjet-m1522n-mfp-laserjet-m1522nf-mfp-laserjet-p1505-laserjet-p1505n/
"Toner kompatibel HP LJ CE255A  HP:LASERJET P3015, LASERJET P3015D, LASERJET P3015DN, LASERJET P3015X",4000,5000,4000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/modeli.jpg,"Toner kompatibel HP LJ CE255A HP:LASERJET P3015, LASERJET P3015D, LASERJET P3015DN, LASERJET P3015X",https://eurooffice.al/product/toner-kompatibel-hp-lj-ce255a-hplaserjet-p3015-laserjet-p3015d-laserjet-p3015dn-laserjet-p3015x/
"Toner kompatibel HP LJ CE255X  HP:LASERJET P3015, LASERJET P3015D, LASERJET P3015DN, LASERJET P3015X",5000,6000,5000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/modeli.jpg,"Toner kompatibel HP LJ CE255X HP:LASERJET P3015, LASERJET P3015D, LASERJET P3015DN, LASERJET P3015X",https://eurooffice.al/product/toner-kompatibel-hp-lj-ce255x-hplaserjet-p3015-laserjet-p3015d-laserjet-p3015dn-laserjet-p3015x/
"Toner kompatibel HP LJ CE278A   HP:LASERJET PRO M1536DNF, LASERJET PRO P1566, LASERJET PRO P1606DN, LASERJET PRO P1607DN, LASERJET PRO P1608DN, LASERJET PRO P1609DN",2000,2500,2000,L,,true,https://eurooffice.al/wp-content/uploads/2020/05/modeli.jpg,"Toner kompatibel HP LJ CE278A HP:LASERJET PRO M1536DNF, LASERJET PRO P1566, LASERJET PRO P1606DN, LASERJET PRO P1607DN, LASERJET PRO P1608DN, LASERJET PRO P1609DN",https://eurooffice.al/product/toner-kompatibel-hp-lj-cb435a-hplaserjet-p1005-laserjet-p1006-laserjet-p1007-laserjet-p1008/
